StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1_Education_Level ,Q2_Gender,Q3_Generation,Q4_Survey_Link_From,Q5_Familiarity_With_AI,Q6_Familiarity_With_Renewable_Energy_Initiatives,Q7_Use_of_generative_AI,Q8_Program_Enrolled ,Q9_Field_Of_Work,Q10_Time_Using_AI,Q11_AI_Use_Over_Traditional_Methods,Q12_AI_Awareness_Of_Environmental_Impact ,Q13_AI_Use_Over_Traditional_Methods_Energy_Efficiency,Q14_Is_Environmental_Impact_Concerning,Q15_Importants_Of_AI_Performance_For_Energy-Efficient_Practices,Q16_Environmental_Concerns,Q17_AI_Estimate_Of_Energy_Used ,Q18_Limiting_Use_Of_AI_For_Environmental,Q19_AI_Accessed_Fee,Q20_AI_Companies_Energy_Consumption_Regulations,Q21_Can_Government_Help_Reduce_AI_Impact,Q22_How_Can_Government_Help_Reduce_AI_Impact
2/10/2025 10:30,2/10/2025 10:40,IP Address,172.226.175.42,100,574,TRUE,2/10/2025 10:40,R_10M6uRIL7DJRNq7,29.522,-98.5974,anonymous,EN,Bachelors Degree,Female,Gen X (1965-1980),Direct Message / Colleague,Not Familiar,No,"Work,Education",LCDC,N/A,1 - 30 Minutes,Yes,Not Aware,Moderately Efficient,Moderately agree,Very important,Extremely concerned,Yes,Yes,Yes,Yes,Yes,I an not fully sure how but the people who do know how can put limits on things that damage environment with pollution  or improper waste disposal or destroying our biodiversity.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
